日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/04/17,"17,111,522","3,223,517,863",189.00,189.00,187.50,187.50,-1.50,"7,470"
106/04/18,"28,732,770","5,411,365,190",188.00,189.50,187.50,188.00,+0.50,"6,174"
106/04/19,"31,171,199","5,828,201,425",187.50,187.50,186.50,186.50,-1.50,"9,427"
106/04/20,"32,697,485","6,118,457,114",186.50,188.00,186.50,187.00,+0.50,"6,751"
106/04/21,"19,034,232","3,603,058,600",187.50,190.00,187.50,190.00,+3.00,"6,966"
106/04/24,"29,572,675","5,612,973,548",191.00,191.50,188.50,190.00, 0.00,"5,428"
106/04/25,"31,952,889","6,096,631,799",190.50,192.00,189.50,192.00,+2.00,"10,510"
106/04/26,"31,119,972","5,951,704,052",192.00,192.00,190.50,191.00,-1.00,"10,342"
106/04/27,"35,812,934","6,877,484,808",192.00,193.00,190.50,193.00,+2.00,"9,859"
106/04/28,"38,381,021","7,446,882,120",193.50,194.50,193.00,194.50,+1.50,"11,671"
106/05/02,"45,851,963","9,053,856,108",198.50,199.00,195.50,196.50,+2.00,"15,718"
106/05/03,"27,240,962","5,390,698,304",198.00,198.50,197.00,198.00,+1.50,"9,259"
106/05/04,"22,194,084","4,394,409,518",198.50,199.00,197.00,198.00, 0.00,"8,787"
106/05/05,"17,618,358","3,484,019,026",197.00,198.50,197.00,197.50,-0.50,"6,078"
106/05/08,"39,591,009","7,943,498,809",199.00,202.50,199.00,202.50,+5.00,"15,190"
106/05/09,"48,285,324","9,920,879,512",205.50,207.00,203.50,203.50,+1.00,"15,467"
106/05/10,"31,075,759","6,369,713,620",204.00,206.00,204.00,205.50,+2.00,"11,094"
106/05/11,"44,286,097","9,144,772,197",204.50,208.50,204.00,207.50,+2.00,"16,478"
106/05/12,"25,507,045","5,246,098,865",205.00,207.00,205.00,206.00,-1.50,"7,515"
106/05/15,"25,922,334","5,324,070,590",204.00,206.00,204.00,206.00, 0.00,"8,141"
106/05/16,"36,604,672","7,468,111,624",205.00,205.00,203.50,204.50,-1.50,"11,066"
106/05/17,"22,606,380","4,599,735,640",203.00,204.00,203.00,204.00,-0.50,"9,323"
106/05/18,"22,490,217","4,559,780,051",202.50,204.00,201.50,203.50,-0.50,"6,983"
106/05/19,"17,163,108","3,490,280,961",203.50,204.50,202.50,203.00,-0.50,"6,014"
106/05/22,"17,419,705","3,554,245,920",203.50,205.00,203.00,205.00,+2.00,"5,278"
106/05/23,"23,028,298","4,738,103,907",205.00,207.00,204.50,205.00, 0.00,"7,003"
106/05/24,"18,307,715","3,760,309,975",205.00,206.00,205.00,205.50,+0.50,"5,141"
106/05/25,"26,088,748","5,388,004,408",206.00,207.00,205.50,207.00,+1.50,"7,406"
106/05/26,"32,976,727","6,794,923,568",205.00,207.00,205.00,207.00, 0.00,"8,059"
106/05/31,"67,935,145","13,853,122,715",206.50,207.00,203.00,203.00,-4.00,"11,757"
106/06/01,"29,623,649","6,096,361,694",205.00,207.00,204.50,207.00,+4.00,"6,374"
106/06/02,"23,265,323","4,845,442,265",208.50,209.00,207.50,209.00,+2.00,"7,429"
106/06/03,"1,535,230","320,348,914",209.00,209.00,208.00,209.00, 0.00,"1,078"
106/06/05,"22,545,164","4,746,962,354",209.50,212.00,209.00,212.00,+3.00,"8,931"
106/06/06,"15,382,025","3,243,804,586",210.50,211.50,210.50,210.50,-1.50,"5,541"
106/06/07,"34,729,326","7,342,424,736",212.00,212.50,210.00,211.50,+1.00,"8,034"
106/06/08,"21,654,488","4,599,496,993",212.00,213.00,211.50,213.00,+1.50,"7,926"
106/06/09,"35,190,159","7,505,851,237",214.50,215.00,212.00,212.00,-1.00,"10,657"
106/06/12,"63,111,746","13,135,046,554",207.00,210.00,207.00,207.50,-4.50,"22,473"
106/06/13,"49,983,303","10,381,567,507",207.00,208.50,206.50,208.00,+0.50,"13,236"
106/06/14,"39,083,899","8,113,132,831",208.50,209.50,206.00,207.00,-1.00,"11,304"
106/06/15,"19,486,457","4,046,560,581",207.50,208.00,207.00,208.00,+1.00,"6,497"
106/06/16,"32,856,536","6,902,455,266",207.50,212.00,207.00,211.50,+3.50,"9,683"
106/06/19,"17,489,571","3,712,290,873",211.00,213.00,210.50,213.00,+1.50,"5,658"
106/06/20,"28,784,100","6,229,988,043",215.00,218.00,214.50,216.50,+3.50,"9,135"
106/06/21,"45,384,482","9,793,828,804",216.00,217.00,214.50,215.50,-1.00,"12,233"
106/06/22,"26,094,649","5,674,049,232",217.00,218.00,216.50,218.00,+2.50,"7,559"
106/06/23,"39,686,091","8,627,393,668",218.00,218.50,217.00,217.00,-1.00,"14,539"
106/06/26,"60,140,797","12,848,925,735",212.00,215.00,212.00,215.00,X0.00,"20,653"
106/06/27,"44,504,785","9,437,315,205",214.00,214.00,211.00,211.50,-3.50,"17,122"
106/06/28,"52,273,921","10,919,812,400",209.50,210.00,208.00,208.50,-3.00,"15,953"
106/06/29,"27,049,234","5,678,566,197",210.50,210.50,208.50,210.00,+1.50,"8,431"
106/06/30,"31,709,978","6,580,047,422",206.50,208.50,206.50,208.50,-1.50,"9,805"
106/07/03,"21,066,605","4,382,736,445",207.50,209.00,207.00,209.00,+0.50,"7,037"
106/07/04,"21,592,272","4,476,915,676",208.00,208.50,207.00,207.00,-2.00,"8,990"
106/07/05,"23,463,030","4,868,199,460",207.00,208.50,206.50,208.50,+1.50,"7,278"
106/07/06,"15,260,726","3,166,474,008",208.00,208.50,207.00,207.50,-1.00,"4,473"
106/07/07,"21,567,705","4,449,245,335",207.00,207.50,205.50,206.00,-1.50,"8,234"
106/07/10,"13,326,526","2,749,724,552",206.50,207.00,206.00,206.00, 0.00,"5,812"
106/07/11,"34,593,975","7,275,696,778",208.00,212.00,207.50,212.00,+6.00,"11,217"
106/07/12,"26,887,728","5,690,155,100",211.00,212.50,210.50,210.50,-1.50,"9,582"
106/07/13,"50,136,849","10,735,533,186",212.00,216.00,211.50,214.50,+4.00,"16,903"
106/07/14,"22,364,167","4,773,890,099",213.00,214.50,212.00,213.00,-1.50,"9,330"
106/07/17,"21,400,126","4,566,620,338",215.00,215.50,211.50,213.00, 0.00,"8,537"
106/07/18,"18,756,453","3,998,545,790",213.00,214.00,212.00,214.00,+1.00,"8,905"
106/07/19,"20,661,381","4,428,023,668",212.50,215.00,212.50,214.50,+0.50,"11,699"
106/07/20,"20,795,770","4,468,108,550",215.00,215.50,214.00,215.50,+1.00,"8,261"
106/07/21,"15,422,136","3,302,914,894",214.00,215.00,213.50,214.00,-1.50,"7,558"
106/07/24,"20,002,702","4,279,712,228",213.50,214.50,213.00,214.50,+0.50,"6,805"
106/07/25,"13,853,196","2,965,264,666",214.00,214.50,213.50,214.00,-0.50,"4,836"
106/07/26,"15,900,563","3,393,269,119",215.00,215.00,212.50,213.00,-1.00,"5,219"
106/07/27,"23,045,021","4,959,471,015",213.50,216.00,213.50,215.50,+2.50,"9,138"
106/07/28,"21,121,133","4,498,197,191",213.00,214.00,212.50,213.00,-2.50,"7,997"
106/07/31,"20,363,314","4,352,541,276",211.50,214.50,211.50,214.50,+1.50,"6,039"
106/08/01,"20,314,999","4,325,934,287",212.50,214.00,212.00,212.00,-2.50,"7,318"
106/08/02,"30,528,035","6,574,998,275",214.00,216.00,214.00,216.00,+4.00,"11,028"
106/08/03,"27,097,397","5,779,905,218",213.00,214.00,212.50,213.50,-2.50,"7,041"
106/08/04,"22,187,420","4,735,259,954",213.50,214.00,212.50,213.00,-0.50,"5,240"
106/08/07,"21,594,977","4,653,776,958",213.50,216.50,213.50,216.00,+3.00,"7,115"
106/08/08,"25,223,804","5,483,118,368",217.50,219.00,216.00,217.50,+1.50,"8,404"
106/08/09,"28,129,447","6,035,247,455",215.00,215.50,213.50,214.50,-3.00,"9,826"
106/08/10,"27,440,049","5,866,558,686",215.50,215.50,212.50,214.00,-0.50,"8,227"
106/08/11,"41,592,129","8,803,564,627",211.00,213.50,210.50,212.50,-1.50,"13,751"
106/08/14,"29,414,616","6,233,486,198",213.50,214.00,210.00,211.00,-1.50,"7,719"
106/08/15,"14,385,915","3,073,117,310",213.00,214.50,213.00,214.00,+3.00,"5,250"
106/08/16,"25,206,990","5,357,190,370",214.50,214.50,211.00,213.00,-1.00,"8,610"
106/08/17,"8,353,232","1,785,167,148",213.50,214.00,213.00,214.00,+1.00,"3,120"
106/08/18,"14,363,526","3,043,468,038",212.00,213.00,211.00,212.50,-1.50,"3,999"
106/08/21,"13,847,499","2,934,064,688",212.50,213.00,211.50,211.50,-1.00,"5,152"
106/08/22,"17,330,415","3,710,809,960",213.50,214.50,213.00,214.50,+3.00,"7,908"
106/08/23,"11,757,917","2,531,926,275",215.50,216.00,214.00,215.50,+1.00,"5,873"
106/08/24,"15,426,842","3,341,510,582",216.00,217.00,215.50,217.00,+1.50,"6,953"
106/08/25,"10,975,387","2,384,766,481",217.50,217.50,216.00,217.50,+0.50,"5,546"
106/08/28,"16,512,159","3,564,102,094",215.00,216.50,215.00,216.00,-1.50,"5,673"
106/08/29,"16,561,161","3,569,385,647",216.00,216.00,215.00,216.00, 0.00,"5,587"
106/08/30,"19,674,310","4,274,683,770",216.00,218.00,216.00,217.50,+1.50,"6,732"
106/08/31,"26,945,202","5,837,056,904",217.50,218.00,215.50,216.50,-1.00,"6,585"
106/09/01,"17,805,405","3,851,834,126",215.00,217.50,215.00,216.50, 0.00,"6,956"
106/09/04,"15,053,185","3,273,164,145",216.50,218.00,215.50,217.50,+1.00,"8,635"
106/09/05,"34,514,275","7,503,488,603",218.00,218.00,216.50,218.00,+0.50,"7,065"
106/09/06,"28,148,528","6,117,444,609",216.50,218.00,216.00,217.00,-1.00,"6,999"
106/09/07,"19,198,540","4,170,321,680",218.00,218.50,216.00,217.00, 0.00,"6,586"
106/09/08,"25,512,045","5,549,520,265",217.00,218.00,216.50,218.00,+1.00,"7,969"
106/09/11,"19,387,886","4,215,723,762",219.00,219.50,216.50,217.00,-1.00,"5,305"
106/09/12,"24,862,321","5,437,521,978",219.00,219.50,217.50,219.00,+2.00,"5,992"
106/09/13,"18,336,541","3,998,984,438",217.50,219.00,217.50,218.00,-1.00,"4,598"
106/09/14,"21,508,567","4,701,852,606",218.50,219.00,217.50,218.50,+0.50,"6,314"
106/09/15,"48,901,103","10,668,230,939",218.50,219.00,217.00,218.50, 0.00,"5,253"
106/09/18,"17,812,705","3,905,801,892",219.00,220.00,218.00,219.50,+1.00,"6,714"
106/09/19,"26,255,575","5,742,129,525",221.50,221.50,220.00,221.50,+2.00,"11,072"
106/09/20,"23,434,237","5,179,958,449",221.00,222.00,220.00,221.50, 0.00,"9,347"
106/09/21,"18,645,565","4,125,047,365",221.00,223.00,220.00,221.00,-0.50,"6,604"
106/09/22,"22,456,370","4,930,530,220",221.50,222.00,218.50,218.50,-2.50,"7,431"
106/09/25,"17,458,286","3,797,761,662",217.50,218.50,217.00,217.00,-1.50,"6,250"
106/09/26,"25,003,901","5,392,244,669",217.50,218.00,214.00,214.00,-3.00,"8,768"
106/09/27,"24,794,510","5,353,580,844",217.50,217.50,215.00,215.00,+1.00,"7,326"
106/09/28,"31,616,062","6,788,534,834",215.00,216.00,213.50,214.00,-1.00,"7,749"
106/09/29,"23,954,708","5,184,362,760",216.00,217.50,215.50,216.50,+2.50,"7,507"
106/09/30,"4,254,045","924,823,765",218.00,218.50,216.50,216.50, 0.00,"2,446"
106/10/02,"28,360,551","6,233,064,680",219.50,220.50,218.50,220.50,+4.00,"10,605"
106/10/03,"38,330,938","8,497,244,691",219.00,223.00,219.00,222.50,+2.00,"12,703"
106/10/05,"25,397,939","5,691,251,336",222.00,225.50,222.00,224.50,+2.00,"8,601"
106/10/06,"16,040,516","3,604,683,862",225.00,225.50,223.50,224.50, 0.00,"7,612"
106/10/11,"67,649,562","15,633,206,754",226.50,233.50,226.50,233.00,+8.50,"20,879"
106/10/12,"44,176,186","10,450,920,432",235.00,237.50,234.50,237.50,+4.50,"16,490"
106/10/13,"23,145,071","5,465,540,327",237.50,237.50,234.50,237.50, 0.00,"10,507"
106/10/16,"20,673,072","4,906,963,355",237.50,238.00,236.00,238.00,+0.50,"6,764"
106/10/17,"17,652,304","4,171,891,244",238.00,238.00,235.00,235.50,-2.50,"6,336"
106/10/18,"28,970,850","6,901,364,183",239.50,239.50,237.00,237.50,+2.00,"10,330"
106/10/19,"23,481,776","5,636,769,464",239.50,241.50,239.00,239.00,+1.50,"9,033"
106/10/20,"27,056,035","6,456,386,670",238.00,239.50,237.50,237.50,-1.50,"7,206"
106/10/23,"15,959,559","3,820,927,681",239.00,240.00,238.50,239.00,+1.50,"6,686"
106/10/24,"16,100,570","3,842,463,252",240.00,240.00,238.00,238.00,-1.00,"6,034"
106/10/25,"17,205,187","4,099,505,436",238.50,239.00,237.50,238.00, 0.00,"5,808"
106/10/26,"12,959,717","3,069,618,429",237.00,238.00,236.00,236.00,-2.00,"4,947"
106/10/27,"18,040,541","4,304,460,160",237.50,240.00,237.50,239.00,+3.00,"5,715"
106/10/30,"30,241,990","7,358,619,170",242.00,245.00,241.50,243.00,+4.00,"10,609"
106/10/31,"22,582,013","5,497,062,659",243.50,245.00,241.50,243.00, 0.00,"8,176"
